TEAM_ID,ROSTER_AGE,SEASON
1610612743,27.31094257854821,2023-24
1610612744,28.398258977149077,2023-24
1610612745,26.304643261608152,2023-24
1610612746,30.23481308411215,2023-24
1610612747,27.439957492029755,2023-24
1610612748,27.9552752293578,2023-24
1610612749,29.81223628691983,2023-24
1610612750,26.84325637910085,2023-24
1610612751,25.75204678362573,2023-24
1610612752,27.364692218350754,2023-24
1610612753,24.801455301455302,2023-24
1610612754,25.824521934758156,2023-24
1610612755,28.44731182795699,2023-24
1610612756,28.640044994375703,2023-24
1610612757,24.438084112149532,2023-24
1610612758,26.883817427385893,2023-24
1610612759,23.355064027939463,2023-24
1610612760,24.895833333333332,2023-24
1610612761,26.23781212841855,2023-24
1610612762,24.59922680412371,2023-24
1610612763,24.906293706293706,2023-24
1610612764,25.104191616766467,2023-24
1610612765,24.288501026694046,2023-24
1610612766,25.21640091116173,2023-24
1610612737,25.966357308584687,2024-25
1610612738,28.441558441558442,2024-25
1610612739,26.91978021978022,2024-25
1610612740,26.32490974729242,2024-25
1610612741,24.757948717948718,2024-25
1610612742,27.33586956521739,2024-25
1610612743,27.19953325554259,2024-25
1610612744,28.565693430656935,2024-25
1610612745,25.7979797979798,2024-25
1610612746,30.02405498281787,2024-25
1610612747,28.187709497206704,2024-25
1610612748,27.28804347826087,2024-25
1610612749,27.932620320855616,2024-25
1610612750,26.713961407491485,2024-25
1610612751,24.34922680412371,2024-25
1610612752,27.31055900621118,2024-25
1610612753,25.094117647058823,2024-25
1610612754,26.129207383279045,2024-25
1610612755,27.290516206482593,2024-25
1610612756,28.94748124330118,2024-25
1610612757,24.19732441471572,2024-25
1610612758,28.107947805456703,2024-25
1610612759,26.296095444685466,2024-25
1610612760,25.247816593886462,2024-25
1610612761,24.906633906633907,2024-25
1610612762,23.746682750301567,2024-25
1610612763,25.609473684210528,2024-25
1610612764,24.22909090909091,2024-25
1610612765,25.985153764581124,2024-25
1610612766,25.49277108433735,2024-25
1610612737,26.156156156156158,2025-26
1610612738,26.932692307692307,2025-26
1610612739,27.71321961620469,2025-26
1610612740,24.13681592039801,2025-26
1610612741,24.732394366197184,2025-26
1610612742,26.868108108108107,2025-26
1610612743,27.91252699784017,2025-26
1610612744,28.67844522968198,2025-26
1610612745,27.260047281323878,2025-26
1610612746,28.780571428571427,2025-26
1610612747,27.52078774617068,2025-26
1610612748,26.107798165137616,2025-26
1610612749,27.212742980561554,2025-26
1610612750,27.502114164904864,2025-26
1610612751,23.597547380156076,2025-26
1610612752,27.261506276150627,2025-26
1610612753,24.849268841394824,2025-26
1610612754,26.748831775700936,2025-26
1610612755,25.765294771968854,2025-26
1610612756,26.17462039045553,2025-26
1610612757,25.34135667396061,2025-26
1610612758,28.222079589216946,2025-26
1610612759,26.274017467248907,2025-26
1610612760,25.555555555555557,2025-26
1610612761,24.79395900755124,2025-26
1610612762,24.703389830508474,2025-26
1610612763,24.044359949302915,2025-26
1610612764,23.293906810035843,2025-26
1610612765,26.24364406779661,2025-26
1610612766,24.422991071428573,2025-26
