TEAM_ID,DEFLECTIONS_PRE,CONTESTED_SHOTS_PRE,LOOSE_BALLS_RECOVERED_PRE,SCREEN_ASSISTS_PRE,CHARGES_DRAWN_PRE,DEFLECTIONS_POST,CONTESTED_SHOTS_POST,LOOSE_BALLS_RECOVERED_POST,SCREEN_ASSISTS_POST,CHARGES_DRAWN_POST,DELTA_DEFLECTIONS,DELTA_CONTESTED_SHOTS,DELTA_LOOSE_BALLS_RECOVERED,DELTA_SCREEN_ASSISTS,DELTA_CHARGES_DRAWN,SEASON
1610612744,16.24,63.85,7.49,10.73,0.64,11.3,65.0,6.0,10.3,0.3,-4.939999999999998,1.1499999999999986,-1.4900000000000002,-0.4299999999999997,-0.34,2019-20
1610612745,15.19,58.69,8.56,5.65,0.81,18.11,55.83,7.11,4.61,1.11,2.92,-2.8599999999999994,-1.4500000000000002,-1.04,0.30000000000000004,2019-20
1610612754,15.25,61.11,6.67,11.71,0.47,15.33,62.44,6.0,10.39,0.44,0.08000000000000007,1.3299999999999983,-0.6699999999999999,-1.3200000000000003,-0.02999999999999997,2019-20
1610612746,14.87,62.11,6.93,11.15,0.91,13.65,59.24,6.53,11.35,0.76,-1.2199999999999989,-2.8699999999999974,-0.39999999999999947,0.1999999999999993,-0.15000000000000002,2019-20
1610612747,16.68,57.58,7.91,8.4,0.66,15.83,53.56,7.28,9.22,0.89,-0.8499999999999996,-4.019999999999996,-0.6299999999999999,0.8200000000000003,0.22999999999999998,2019-20
1610612763,16.2,67.76,7.35,8.54,0.24,14.21,66.47,8.42,9.53,0.89,-1.9899999999999984,-1.2900000000000063,1.0700000000000003,0.9900000000000002,0.65,2019-20
1610612748,14.61,60.61,7.0,11.39,0.57,14.74,60.42,7.89,10.05,1.0,0.13000000000000078,-0.18999999999999773,0.8899999999999997,-1.3399999999999999,0.43000000000000005,2019-20
1610612749,14.63,76.19,8.09,9.22,0.52,11.95,72.37,7.42,7.89,0.84,-2.6800000000000015,-3.819999999999993,-0.6699999999999999,-1.330000000000001,0.31999999999999995,2019-20
1610612750,16.4,61.08,8.13,8.3,0.66,18.18,59.82,6.27,9.36,0.73,1.7800000000000011,-1.259999999999998,-1.8600000000000012,1.0599999999999987,0.06999999999999995,2019-20
1610612740,16.67,66.0,8.55,10.09,0.65,14.53,60.18,6.65,7.71,0.41,-2.1400000000000023,-5.82,-1.9000000000000004,-2.38,-0.24000000000000005,2019-20
1610612752,13.45,57.89,7.73,8.69,0.35,12.82,60.27,7.91,6.09,0.27,-0.629999999999999,2.3800000000000026,0.17999999999999972,-2.5999999999999996,-0.07999999999999996,2019-20
1610612760,15.29,63.15,7.84,10.11,0.65,14.94,62.29,7.94,9.71,0.71,-0.34999999999999964,-0.8599999999999994,0.10000000000000053,-0.3999999999999986,0.05999999999999994,2019-20
1610612753,14.87,53.96,7.62,10.91,0.42,13.17,53.5,6.72,11.94,0.67,-1.6999999999999993,-0.46000000000000085,-0.9000000000000004,1.0299999999999994,0.25000000000000006,2019-20
1610612755,15.24,54.64,8.35,7.85,0.42,13.22,53.5,7.28,9.06,0.28,-2.0199999999999996,-1.1400000000000006,-1.0699999999999994,1.2100000000000009,-0.13999999999999996,2019-20
